type,name,longitude,latitude,address,infos
2,上海话剧艺术中心,121.44129,31.21361,安福路288号,上海话剧艺术中心建于1995年1月23日，是由原上海人民艺术剧院（始创于1950年）和上海青年话剧团（始创于1957年）这两个著名的话剧表演团体合并而成。 上海话剧艺术中心是上海唯一的国家级话剧表演艺术剧院，也是代表中国最优秀的话剧团体之一。
1,上海老相机制造博物馆,121.44062,31.2136,安福路300号,上海老相机制造博物馆于2012年6月9日在黄浦区文化局第二文化馆正式开馆，并于6月10日起免费向公众开放。博物馆内设中国老相机制造厂家专区等，旨在向公众演绎相机的文化内涵和历史记忆。
3,长宁德必易园,121.42034,31.21529,安化路492号,德必易园地处长宁区龙头板块——中山公园商圈的中心地带，毗邻上海多媒体产业园，是上海多媒体产业园分园，是以多媒体产业为主的业态聚集地。
1,崇明博物馆,121.40164,31.61855,鳌山路696号,崇明博物馆始建于1959年7月，位于上海市文物保护单位——崇明学宫内，新馆经改造后于1999年12月对外开放，是—所县级综合性博物馆。
1,上海纺织博物馆,121.44595,31.24668,澳门路150号,上海纺织博物馆位于原上海申新纺织第九厂旧址，是一家地域性行业博物馆。
1,顾正红纪念馆,121.44265,31.24707,澳门路300号,顾正红纪念馆成立于2008年5月，是缅怀顾正红烈士英雄事迹、加强对后人的革命传统教育、深入开展五卅运动史、沪西革命史研究工作的重要革命纪念地。
3,中华1912文化创意产业园 ,121.4402,31.24589,澳门路477号,“中华1912”文化创意产业园是对具有百年历史文化的“中华书局”老厂房进行保护性修缮改造而成。
2,上海保利大剧院,121.26499,31.35374,白银路159号,上海保利大剧院毗邻上海国际赛车场，是上海地区标志性文化设施之一。剧院临湖而建，是国内首家拥有水景剧场的剧院。
3,东方慧谷—上海文化信息产业园 ,121.29188,31.33347,宝安公路2999号,上海文化信息产业园是以现代文化产业、信息产业、创意产业融合发展为特色的大型高新技术产业企业集聚区。
1,上海眼镜博物馆,121.47267,31.26009,宝昌路533号,上海眼镜博物馆共分两个楼层，由“眼睛的世界”“眼镜光学”“眼镜材料与检测”“眼镜的历史”“眼镜产业”“眼镜的设计与文化”等板块组成。
